Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
251,Spectrogram 1,1,61893,61896,0,12000,Black Redstart,blared1,0.8997,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_043002.wav,6
252,Spectrogram 1,1,61986,61989,0,12000,Black Redstart,blared1,0.1439,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_043502.wav,42
253,Spectrogram 1,1,62037,62040,0,12000,Black Redstart,blared1,0.1668,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_044002.wav,36
254,Spectrogram 1,1,62046,62049,0,12000,Black Redstart,blared1,0.6881,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_044002.wav,45
255,Spectrogram 1,1,62052,62055,0,12000,Black Redstart,blared1,0.9829,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_044002.wav,51
256,Spectrogram 1,1,62067,62070,0,12000,Black Redstart,blared1,0.5956,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_044502.wav,9
257,Spectrogram 1,1,62112,62115,0,12000,Black Redstart,blared1,0.1082,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_044502.wav,54
258,Spectrogram 1,1,62121,62124,0,12000,Black Redstart,blared1,0.2481,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,6
259,Spectrogram 1,1,62139,62142,0,12000,Black Redstart,blared1,0.822,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,24
260,Spectrogram 1,1,62151,62154,0,12000,Black Redstart,blared1,0.9989,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,36
261,Spectrogram 1,1,62157,62160,0,12000,Black Redstart,blared1,0.476,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,42
262,Spectrogram 1,1,62160,62163,0,12000,Black Redstart,blared1,0.2922,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,45
263,Spectrogram 1,1,62163,62166,0,12000,Black Redstart,blared1,0.5486,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,48
264,Spectrogram 1,1,62169,62172,0,12000,Black Redstart,blared1,0.8733,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045002.wav,54
265,Spectrogram 1,1,62172,62175,0,12000,Black Redstart,blared1,0.2012,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_045502.wav,0
266,Spectrogram 1,1,62664,62667,0,12000,Black Redstart,blared1,0.4847,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_053500.wav,24
267,Spectrogram 1,1,62715,62718,0,12000,Black Redstart,blared1,0.4961,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_054000.wav,15
268,Spectrogram 1,1,62793,62796,0,12000,Black Redstart,blared1,0.5781,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_054500.wav,33
269,Spectrogram 1,1,62808,62811,0,12000,Black Redstart,blared1,0.1161,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_054500.wav,48
270,Spectrogram 1,1,62817,62820,0,12000,Black Redstart,blared1,0.1199,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_054500.wav,57
271,Spectrogram 1,1,62880,62883,0,12000,Black Redstart,blared1,0.4552,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_055500.wav,0
272,Spectrogram 1,1,62925,62928,0,12000,Black Redstart,blared1,0.1396,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_055500.wav,45
273,Spectrogram 1,1,62943,62946,0,12000,Black Redstart,blared1,0.2984,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_060000.wav,3
274,Spectrogram 1,1,62952,62955,0,12000,Black Redstart,blared1,0.3146,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_060000.wav,12
275,Spectrogram 1,1,62964,62967,0,12000,Black Redstart,blared1,0.9339,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_060000.wav,24
276,Spectrogram 1,1,63219,63222,0,12000,Black Redstart,blared1,0.5603,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_062000.wav,39
277,Spectrogram 1,1,63546,63549,0,12000,Black Redstart,blared1,0.1641,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_065000.wav,6
278,Spectrogram 1,1,63552,63555,0,12000,Black Redstart,blared1,0.2579,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_065000.wav,12
279,Spectrogram 1,1,63555,63558,0,12000,Black Redstart,blared1,0.3995,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_065000.wav,15
280,Spectrogram 1,1,63585,63588,0,12000,Black Redstart,blared1,0.2909,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_065000.wav,45
281,Spectrogram 1,1,63588,63591,0,12000,Black Redstart,blared1,0.4984,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_065000.wav,48
282,Spectrogram 1,1,63594,63597,0,12000,Black Redstart,blared1,0.743,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_065000.wav,54
283,Spectrogram 1,1,63690,63693,0,12000,Black Redstart,blared1,0.4915,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_070000.wav,30
284,Spectrogram 1,1,63723,63726,0,12000,Black Redstart,blared1,0.9422,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_070500.wav,3
285,Spectrogram 1,1,63969,63972,0,12000,Black Redstart,blared1,0.1907,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_072500.wav,9
286,Spectrogram 1,1,64110,64113,0,12000,Black Redstart,blared1,0.6245,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_073500.wav,30
287,Spectrogram 1,1,64203,64206,0,12000,Black Redstart,blared1,0.1296,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_074500.wav,3
288,Spectrogram 1,1,64485,64488,0,12000,Black Redstart,blared1,0.3295,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_080500.wav,45
289,Spectrogram 1,1,64737,64740,0,12000,Black Redstart,blared1,0.9303,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_082500.wav,57
290,Spectrogram 1,1,65106,65109,0,12000,Black Redstart,blared1,0.4517,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_090000.wav,6
291,Spectrogram 1,1,65238,65241,0,12000,Black Redstart,blared1,0.154,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_091000.wav,18
292,Spectrogram 1,1,65271,65274,0,12000,Black Redstart,blared1,0.3844,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240622_091000.wav,51
